"id","Project Name","Developer","Architect","Contractor","Possible Engineer","Location","Address","Territory","Groundbreaking Year","Completion Year","Article Title","Article Date","Scraped Date","Article Link","Article Summary","Milestone Mentions","Planned Mentions","Lead Score","Qualified","Justification"
,"Edge House","Grupo T&C (Meridian TC Real Estate Group, LLC)","Kobi Karp Architecture & Interior Design","",,,"1825 and 1837 NE 4th Avenue, Miami, FL","Dade / Monroe","","","Miami’s Urban Development Review Board is set to review plans for Edge House","2025-09-11","2025-12-03","https://floridayimby.com/2025/09/grupo-tcs-56-story-edge-house-heads-to-miamis-urban-development-review-board.html","Miami’s Urban Development Review Board is set to review plans for Edge House, a 57-story lodging tower proposed for a vacant 0.64-acre site in Edgewater, Miami. Developed by Grupo T&C, designed by Kobi Karp, with detailed amenities, parking, and sustainable features. Plans utilize Miami 21’s Bonus Height program.","Urban Development Review Board meeting scheduled for September 17","57-story lodging tower with 608 units, amenities, and parking",,"Yes","Confidence: 95 — Miami’s Urban Development Review Board is set to review plans for Edge House, a 57-story lodging tower proposed for 1825 and 1837 NE 4th Avenue in Edgewater, Miami. The project is being developed by Peruvian firm Grupo T&C through its local affiliate Meridian TC Real Estate Group, LLC, with Kobi Karp Architecture & Interior Design as the design architect. Urban Development Review Board review represents an early public approval stage, typically 12-18 months before construction begins, confirming the project is in planning phase before mechanical systems are specified. Ideal timing for early HVAC involvement during the design review process."
,"Main Street Exchange","Mazas Development","","",,,"830 Douglas Avenue, Dunedin, FL","Greater Tampa","","","","2025-10-28","2025-12-03","https://floridayimby.com/2025/10/mazas-development-proposes-main-street-exchange-for-830-douglas-avenue-dunedin-florida.html","Mazas Development hopes to move forward with Main Street Exchange, a mixed-use development in Dunedin, Florida, that would replace a vacant office building with an 89-room hotel, rooftop bar, food hall, gaming center, theater, restaurant, and parking. The firm purchased the site three years ago, and construction cannot start until the first phase (retail and parking garage to the north) is completed.","","Hopes to move forward with the project after completing the first phase (20,000 sq ft retail and 318-spot parking garage).",,"Yes","Confidence: 0 — Project located in Dunedin, Pinellas County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Corey Landing","Kolter Urban","GROH Architecture","",,,"73 75th Avenue, St. Pete Beach, FL","Greater Tampa","","","Florida YIMBY has an update regarding Corey Landing","2025-10-30","2025-12-03","https://floridayimby.com/2025/10/revised-plans-for-corey-landing-approved-for-73-75th-avenue-st-pete-beach-florida.html","The article provides an update on the Corey Landing mixed-use development by Kolter Urban in St. Pete Beach, Florida. Revised plans include two eight-story buildings with 133 luxury condos, retail space, a restaurant, and amenities like a rooftop pool and pickleball courts. Pending approvals and permits, construction could soon begin.","Pending various approvals and permits","could soon undergo construction",,"Yes","Confidence: 0 — Project Corey Landing located at 73 75th Avenue, St. Pete Beach, Pinellas County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Pendry Tampa","Two Roads Development",,,"","Tampa Bay area","111 S. Ashley Drive, Tampa, FL 33602","Greater Tampa / Fort Myers",,"2027","Living the five-star treatment: Pendry Tampa is coming in ...","9/6/24","2025-10-02","https://tbbwmag.com/2024/09/06/living-the-five-star-treatment-pendry-tampa-coming-in-early-2027-renderings/","Pendry Tampa is set to open in early 2027, featuring 200 condo units and 222 hotel rooms. The project aims to provide a luxurious living experience with five-star amenities and services. With 60% of the condos already sold, Pendry Tampa is expected to enhance the social scene in the Tampa Bay area.","In early 2027, Pendry, in collaboration with Two Roads Development, will open Pendry Tampa, bringing its acclaimed services to the Tampa Bay area.",,"2.0","Yes","Confidence: 0.85 — Confidence is high. The article discusses the development of Pendry Tampa, which includes both hotel rooms and condo units, indicating new construction (Section 5.1). The project is set to open in early 2027, which qualifies as a distant timeline (Section 4.2). The involvement of Two Roads Development as the developer and the detailed planning described further support the qualification of this lead."
,"Alan B. Miller Medical Center","Universal Health Services",,,"","Palm Beach Gardens, FL","13655 Pasteur Boulevard, Palm Beach Gardens, FL 33418","Broward / Palm Beach / Martin / St. Lucie",,"2026","Welcome - Alan B. Miller Medical Center | Palm Beach ...","8/5/25","2025-10-02","https://abmmedicalcenter.com/","The Alan B. Miller Medical Center, a new 156-bed hospital, is set to open in April 2026 in Palm Beach Gardens, Florida. Universal Health Services has submitted plans for the development, which includes a seven-story hospital and a four-story medical office building. The project aims to meet the growing healthcare needs of the community as the area continues to expand.","The Alan B. Miller Medical Center is expected to open in April 2026. | The new 156-bed hospital is on track to open in April 2026.","Universal Health Services (UHS) submitted an application to the city of Palm Beach Gardens zoning and development department for conceptual land use and zoning approvals in support of our proposed development of the 34-acre parcel of land in the subdivision of Alton, near Donald Ross Rd. | Pending regulatory approvals, our plans include building a new 156-bed hospital in a seven-story building totaling 365,000 square feet, a four-story medical office building totaling 80,000 square feet, 1,019 parking spaces, and a helipad.","2.0","Yes","Confidence: 0.85 — Confidence is high due to the developer, Universal Health Services (UHS), having submitted an application for conceptual land use and zoning approvals, which qualifies as an official filing (Level 1 Evidence, Section 2.1). The project involves constructing a new 156-bed hospital and a medical office building, indicating significant commercial scale (Section 5.1). The timeline for opening in April 2026 suggests a distant but certain groundbreaking, aligning with the criteria for high confidence leads."
,"Atelier Residences Miami","BLDG Ventures","Gensler & E. Frances Architects",,"BAL Engineering, Inc. + Diamondback Engineering + Schnackel Engineers + Syska Hennessy Group Inc + Wilson & Girgenti Engineers + CJL Engineering + Gensler + M-Engineering + OCI Associates, Inc + Voltair Consulting Engineers","1265 SW 22nd Street, Miami, FL, 33135","1265 Southwest 22nd Street","Dade / Monroe","2025","2027","Atelier Residences Miami' Planned for 2025 ...","11/18/24","2025-10-02","https://floridayimby.com/2024/11/atelier-residences-miami-planned-for-2025-groundbreaking-at-1265-sw-22nd-street-miami-fl.html","BLDG Ventures is planning a new high-rise condominium called Atelier Residences Miami in Miami-Dade County. The project will feature 148 luxury units and a range of amenities, including a social club and curated art installations. Construction is expected to begin in the second quarter of 2025 and be completed by 2027.","Construction is expected to start in the second quarter of 2025 and end in 2027.","BLDG Ventures has plans for a high-rise condo in Miami-Dade County.","4.0","Yes","Confidence: 0.88 — Confidence is high. The article reports that BLDG Ventures has plans for a new high-rise condo, Atelier Residences Miami, with construction expected to start in the second quarter of 2025 (Level 1 Evidence, Section 2.1). The architect, Gensler & E. Frances Architects, is named, and the project is commercial in scale, qualifying it as a priority lead per Section 6 guidance on new construction. The timeline suggests a distant groundbreaking, aligning with the criteria for qualification."
,"Vanderbilt Graduate School Campus",,,,"","West Palm Beach, FL","South Tamarind Avenue & Fern Street","Broward / Palm Beach / Martin / St. Lucie",,"2026","Vanderbilt pursues next steps to build $520 million ...","9/2/24","2025-10-02","https://vanderbilthustler.com/2024/09/02/vanderbilt-pursues-next-steps-to-build-520-million-graduate-school-campus-in-west-palm-beach/","Vanderbilt University is moving forward with plans to establish a $520 million graduate school campus in West Palm Beach, focusing on business and computing. The campus could potentially open as early as Fall 2026, pending further approvals and land agreements. Local officials have expressed support for the project, which aims to enhance educational opportunities in a rapidly growing economic area.","The campus could open as early as Fall 2026.","Vanderbilt proposed a $520 million graduate school campus for business and computing in West Palm Beach, Fla., this past spring. | Florida officials expressed support for the project and started planning a gift-of-land agreement with the university. | Before construction on the campus can begin, county and city officials must conduct a detailed review of the process and bring it up for a vote.","1.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses Vanderbilt's proposal for a $520 million graduate school campus in West Palm Beach, indicating a clear intent to build (Level 3 Evidence, Section 2.1). While the project is still in the planning stages and requires further approvals, it has received support from local officials and involves a significant land acquisition. This aligns with the core mission of opportunity capture per Section 1.2."
,"Wimbish Court","Archway Partners","","",,,"2025 Dr. M.L.K. Jr. Street South, St. Petersburg, FL","Greater Tampa","","","","2025-10-31","2025-12-03","https://floridayimby.com/2025/11/archway-partners-seeks-to-build-82-unit-wimbish-court-at-2025-dr-m-l-k-jr-street-south-st-petersburg-florida.html","Archway Partners proposes Wimbish Court, an 82-unit affordable housing project at 2025 Dr. M.L.K. Jr. Street South in St. Petersburg, Pinellas County, with two layout options: two six-story buildings or one four-story building. The project is contingent on securing an alley vacation and purchasing the site via tax credits, with construction possibly starting late 2026 or early 2027.","Pending various approvals, construction could start in late 2026 or early the following year.","Proposed layouts with two six-story buildings or single four-story building; contingent on alley vacation and site purchase via tax credits.",,"Yes","Confidence: 0 — Project located in St. Petersburg, Pinellas County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"The Avery","The Avid Group","ODP Architecture","",,,"2517 West Kennedy Boulevard, Tampa, FL","Greater Tampa","","","The Avid Group is moving forward with a mid-rise housing project in Tampa","2025-11-01","2025-12-03","https://floridayimby.com/2025/11/six-story-the-avery-seeks-approvals-for-2517-west-kennedy-boulevard-tampa-florida.html","The Avid Group has filed multiple permits for The Avery, a six-story mid-rise housing project with 36 residences, office space, commercial space, and parking at 2517 West Kennedy Boulevard in Tampa, Florida. The site previously hosted a demolished 1920s-era building, and ODP Architecture designed the project.","filed multiple permits; purchased site for $2 million; presented multiple iterations since 2022","six stories, 36 residences (studio to two-bedroom), 6,130 sq ft office, 3,000 sq ft commercial, 43 parking spots, 81 feet tall",,"Yes","Confidence: 0 — Project located in Tampa, Hillsborough County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Atlantico","Planw3st","Austin Fox Architecture","",,,"2217, 2219, and 2233 E. Atlantic Blvd., Pompano Beach, FL","Broward / Palm Beach / Martin / St. Lucie","","","","2025-11-02","2025-12-03","https://floridayimby.com/2025/11/pompano-beach-drc-to-review-atlantico-at-2233-e-atlantic-blvd-pompano-beach-florida.html","Pompano Beach’s Development Review Committee to review plans for Atlantico, an eight-story building with 75 residences and retail space replacing existing storefronts. Architect: Austin Fox Architecture. Developer representative: Planw3st. Site: 2217-2233 E. Atlantic Blvd.","Development Review Committee review","eight-story building, 75 residences, 3,150 sq ft ground-floor retail, studios or small one-bedroom apartments",,"Yes","Confidence: 95 — Pompano Beach’s Development Review Committee intends to review plans for Atlantico, an eight-story multi-family housing development with 75 residences and 3,150 square feet of ground-floor retail space at 2217, 2219, and 2233 E. Atlantic Blvd. Austin Fox Architecture is the architect, and Planw3st is representing the property owner. Development Review Committee review combined with 'plans still in their infancy' indicates very early planning stage, typically 9-18 months before construction begins and before mechanical systems are specified. Ideal timing for early HVAC involvement during the regulatory review process."
,"The William","Blue Road and Ilia Development Group","Carlos Ott in collaboration with Behar Font & Partners","",,,"2040 NE 163rd Street, North Miami Beach, FL","Dade / Monroe","","","New renderings have been revealed for The William","2025-11-03","2025-12-03","https://floridayimby.com/2025/11/new-renderings-revealed-for-the-william-at-2040-ne-163rd-street-in-north-miami-beach.html","Article presents new renderings and details for The William, a 26-story residential tower in North Miami Beach developed by Blue Road and Ilia Development Group, featuring 374 residences, extensive amenities, and pre-sales pricing from high $300,000s with EB-5 opportunities.","New renderings revealed","374 residences, pickleball lounge, pool deck, lobby, wellness amenities, rooftop features, EB-5 opportunities",,"Yes","Confidence: 78 — New renderings revealed for The William, a 26-story residential tower with 374 residences at 2040 NE 163rd Street in North Miami Beach, developed by Blue Road and Ilia Development Group. Architecture by Carlos Ott in collaboration with Behar Font & Partners, interiors by Urban Robot, and sales by Fortune Development Sales. Article details amenities, unit features, and pricing but contains no construction timeline, groundbreaking, or completion dates, indicating project remains in advanced design and pre-construction marketing phase before mechanical engineering and HVAC systems are specified. Named developer, architect, and detailed project specifications provide strong entry point for early HVAC involvement during final design development."
,"619 Brickell","Nobu Hospitality, Key International, 13th Floor Investments","Foster + Partners, Sieger-Suarez Architects","",,,"619 Brickell Ave, Miami, FL","Dade / Monroe","","","Nobu Hospitality's 619 Brickell Residential Tower","2025-11-06","2025-12-03","https://floridayimby.com/2025/11/74-story-619-brickell-to-offer-300-luxury-condos-at-619-brickell-ave-miami-fl.html","Nobu Hospitality partners with Key International and 13th Floor Investments for 619 Brickell, a 74-story tower with 300 luxury residences in Brickell, Miami, designed by Foster + Partners and Sieger-Suarez Architects, offering extensive amenities and a Nobu restaurant.","","set to rise alongside historic church; upon completion one of tallest in Brickell",,"Yes","Confidence: 92 — Nobu Hospitality, in partnership with Key International and 13th Floor Investments, is moving forward with 619 Brickell, a 74-story luxury residential skyscraper at 619 Brickell Ave, Miami, featuring 300 residences, extensive amenities including a resort-style pool, spa, fitness center, and ground-floor Nobu restaurant. The project is designed by Foster + Partners and Sieger-Suarez Architects, blending luxury and Japanese-inspired elegance, positioned alongside the historic First Presbyterian Church. Announcement of this first branded residential project with named developers and architects, without any construction start or past tense indicators, places it in the early planning and design phase before mechanical and HVAC systems are specified. Ideal early-stage opportunity for HVAC involvement as detailed engineering has not yet begun."
,"Two31 Flagler Residences","Partners Big Development & 4 Hands Investments","IDEA",,"Nelson-Rudie & Associates Inc + RSP Architects Ltd + JMM Consulting Engrs LLC + Steven Feller PE Inc + Dunham Associates Inc + Gausman & Moore Inc + Hufsey Nicolaides Garcia Suarez Associates Inc + JMM Consulting Engineers,LIC + TLC Engineering","Downtown Miami","231 East Flagler Street, Miami, FL 33131","Dade / Monroe",,"2027","Miami Pre-Construction Condos: Planned - Two31 Flagler Residences","4/1/24","2025-10-02","https://www.condoblackbook.com/blog/april-2024-miami-new-development-and-pre-construction-condo-update/","Partners Big Development and 4 Hands Investments revealed plans to build an 80-story luxury condo tower at 231 E. Flagler this April. With interiors and architecture by the internationally acclaimed IDEA, the building is poised to stand out as an architectural landmark. IDEA’s Angel Sanchez will also design couture uniforms for the building’s staff.",,,"4.0","Yes",
,"Ruby Development","Tacolcy Economic Development Corp. (TEDC)","MYV Architecture","",,,"6650 NW 26th Avenue, Miami, FL","Dade / Monroe","","","","2025-11-08","2025-12-03","https://floridayimby.com/2025/11/pre-application-filed-for-5-story-affordable-housing-project-at-6650-nw-26th-avenue-in-miami.html","Article describes a pre-application filing on November 4, 2025, for Ruby Development, a proposed five-story affordable housing building with 20 units on a vacant 0.27-acre site in Miami's Liberty City. Submitted by TEDC, it complies with zoning, proposes 8 parking spaces, and seeks site plan review with setback reliefs via colonnade design.","Pre-application filed November 4, 2025; Pre-application meeting requested for November 13, 2025","Five-story residential building with 20 affordable units (studios to two-bedrooms); 18% open space; FAR 3.42; 8 off-street parking spaces; primary frontage on NW 67th Street; reduced side setback with colonnade",,"Yes","Confidence: 92 — A pre-application filed on November 4, 2025, outlines plans for the tentatively named Ruby Development, a five-story affordable housing project with 20 units at 6650 NW 26th Avenue in Miami’s Liberty City neighborhood. The filing was submitted by Tacolcy Economic Development Corp. (TEDC), partnering with property owner Ruby Mackey Milligan, with MYV Architecture credited on renderings; a pre-application meeting is requested for November 13, 2025, seeking administrative site plan review and clarifications on setbacks. Pre-application filing and requested site plan review represent very early planning activities, typically 18-36 months before construction begins on a vacant site, confirming the project is in conceptual phase before mechanical engineering and HVAC systems are specified. Ideal early-stage opportunity for HVAC involvement during the regulatory review process."
,"Ambassador Hotel Redevelopment","OKO Group",,,"","2720 S. Ocean Blvd. and 2730 S. Ocean Blvd., Palm Beach","2720 S. Ocean Blvd. and 2730 S. Ocean Blvd., Palm Beach, FL 33480","Broward / Palm Beach / Martin / St. Lucie","2025",,"Ambassador hotel expected to be demolished during next ...","11/20/25","2025-11-23","https://www.yahoo.com/news/articles/ambassador-hotel-expected-demolished-during-173722633.html","The demolition of the old Ambassador Hotel & Residences in Palm Beach is expected to begin as early as next April, according to Jason Kaye of OKO Group. The project will replace the hotel with two five-story buildings and an adjacent residential building, which will also be replaced. The development has received conditional approval and will be reviewed by the Architectural Commission in February 2025.","The demolition of the old Ambassador Hotel & Residences and an adjacent lakeside building could start as early as next April.","The project recently earned the Town Council’s conditional approval and is expected to appear before the Architectural Commission during its Feb. 25 meeting.","2.0","Yes","Confidence: 0.75 — Article discusses a new condominium project replacing the Ambassador Hotel, which has received conditional approval and is set to proceed. The project involves new construction of two five-story buildings and meets the criteria for qualification as a commercial-scale development per Section 5.1. Confidence score reflects the project's advanced stage with conditional approval and the developer's engagement with the community."
,"Las Olas Chabad Jewish Center","Las Olas Chabad","Steven L. Cohen and Associates","",,,"Southwest corner of SE 15th Avenue and East Las Olas Boulevard, Fort Lauderdale, FL","Broward / Palm Beach / Martin / St. Lucie","","","Plans Submitted to Fort Lauderdale DRC for New Las Olas Chabad Jewish Center","2025-11-10","2025-12-03","https://floridayimby.com/2025/11/las-olas-chabad-jewish-center-proposes-new-three-story-facility-at-1404-e-las-olas-boulevard-in-fort-lauderdale.html","Plans submitted to Fort Lauderdale’s Development Review Committee for a new 24,920 sq ft three-story building to replace the existing Las Olas Chabad facility, featuring educational spaces, community rooms, offices, classrooms, and a rooftop deck. Review scheduled for November 12, 2025.","Plans submitted to Development Review Committee; review scheduled for November 12","Proposed three-story, 70-foot-tall building spanning 24,920 square feet",,"Yes","Confidence: 92 — Plans have been submitted to the City of Fort Lauderdale’s Development Review Committee for a new, expanded three-story, 70-foot-tall home for the Las Olas Chabad Jewish Center, relocating to the southwest corner of SE 15th Avenue and East Las Olas Boulevard in Broward County. The project is led by Las Olas Chabad, with design by Steven L. Cohen and Associates, civil engineering by Scheffer Mote & Ricks, and landscape architecture by EcoPlan. Development Review Committee submission represents an early technical review stage, typically 9-18 months before construction begins, confirming the project is in the planning phase before mechanical systems are specified. Detailed project specifications including 24,920 square feet across three floors with educational, community, and administrative spaces indicate serious development commitment. Ideal timing for HVAC specification involvement before detailed engineering plans are finalized."
,"Fletcher District",,,,"","North Tampa","4202 E Fowler Avenue, Tampa, FL 33620","Greater Tampa / Fort Myers","2026","2028","USF approves Fletcher District, a big mixed-use ...","9/9/25","2025-10-02","https://thatssotampa.com/usf-approves-fletcher-district/","The University of South Florida is transforming its former golf course into the Fletcher District, a mixed-use development featuring student housing, retail, and a hotel. The first phase will cover 27 acres and include various amenities aimed at enhancing the USF community. Construction is anticipated to start in spring 2026 and conclude by fall 2028, pending final approval from the Florida Board of Governors in November.","If approved, construction on the first phase is expected to begin in spring 2026 and wrap up by fall 2028.","USF will seek final approval from the Florida Board of Governors in November.","1.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses the University of South Florida's plans for the Fletcher District, which includes multiple components such as student housing and a hotel (Level 3 Evidence, Section 2.1). The project is in the planning stage, with final approval pending, but the timeline suggests construction will begin in spring 2026, qualifying it as an early lead per Scenario 4 (Section 6). No red flags are present, and the project aligns with core mission principles."
,"Vista Harbor Residences & Yacht Club","Alta Development","Form Group","",,,"555 NW S River Dr, Miami, FL","Dade / Monroe","","","Alta Development hopes to get approval for a high-rise luxury condo on the Miami River","2025-11-09","2025-12-03","https://floridayimby.com/2025/11/alta-development-plans-vista-harbor-residences-yacht-club-for-555-nw-s-river-dr-miami-fl.html","Alta Development is seeking approval for Vista Harbor Residences & Yacht Club, a 12-story luxury condo on the Miami River with 234 units, amenities, and a yacht club. Site under contract, designed with Form Group, sales to launch soon.","Approval sought; sales launch expected within 30 days","12 stories, 234 residences under 720 sq ft, amenities including boardwalk, pool, pickleball, boating slips, riverfront restaurant and club",,"Yes","Confidence: 88 — Alta Development hopes to get approval for Vista Harbor Residences & Yacht Club, a 12-story luxury condo tower with 234 residences located at 555 NW S River Dr in Miami, Miami-Dade County. The developer has the 2.1-acre site under contract and partnered with Form Group on the design, with amenities including a boardwalk, pool, pickleball courts, boating slips, and riverfront restaurant. Site under contract with stated development intent, named architect, and seeking approval indicate early conceptual planning stage before mechanical systems are specified. Ideal timing for HVAC specification involvement before detailed engineering begins."
,"The Halcyon Residences and Marina","Henley US and Gillette Development","MHK Architecture","",,,"","Greater Tampa","2027","2029","","2025-11-13","2025-12-03","https://floridayimby.com/2025/11/joint-venture-announces-the-halcyon-residences-and-marina-in-naples.html","Joint venture partners Henley US and Gillette Development announced The Halcyon Residences and Marina, a luxury waterfront residential project on a nine-acre site in Naples with 66 estate-style homes, private marina, and extensive amenities. The project has secured full entitlements, with an on-site gallery opening in January 2026, construction beginning in 2027, and completion in late 2029.","secured full entitlements","construction expected to begin in 2027, completion anticipated for late 2029, on-site immersive gallery scheduled to open in January 2026",,"Yes","Confidence: 0 — Project located in Naples, Florida (Collier County) which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"1681 and 1725 Kennedy Causeway, North Bay Village, FL","MG Prosper NBV, LLC (joint venture between Prosper Group and MG Developer)","Revuelta Architecture International (Luis Revuelta)","",,,"1681 and 1725 Kennedy Causeway, North Bay Village, FL","Dade / Monroe","","","Shoreline Development Review application filed for planned 30-story mixed-use tower in North Bay Village","2025-11-16","2025-12-03","https://floridayimby.com/2025/11/shoreline-review-filed-for-planned-30-story-tower-at-1681-and-1725-kennedy-causeway-in-north-bay-village.html","Article details a Shoreline Development Review application filed November 9, 2025, for a 30-story mixed-use tower at 1681 and 1725 Kennedy Causeway in North Bay Village by MG Prosper NBV, LLC. Includes 147 residential units, 12 guest rooms, commercial and office space, designed by Revuelta Architecture International. Site is undeveloped; application under Miami-Dade County review, requesting setback exceptions.","Shoreline Development Review application filed on November 9, 2025; under review by Miami-Dade County planners","planned 30-story mixed-use tower; up to 147 residential units, 12 guest rooms, 3,308 sq ft commercial, 6,433 sq ft office",,"Yes","Confidence: 92 — A Shoreline Development Review application was filed on November 9, 2025, for a planned 30-story mixed-use tower rising 364 feet at 1681 and 1725 Kennedy Causeway in North Bay Village, Miami-Dade County. The project is developed by MG Prosper NBV, LLC, a joint venture between Prosper Group and MG Developer, with design by Luis Revuelta of Revuelta Architecture International on a currently undeveloped 0.98-acre site. The application is under review by Miami-Dade County planners, representing an early planning and regulatory approval stage before detailed mechanical engineering and HVAC systems are specified. This filing combined with named developer, architect, and specific project details (147 residential units, commercial/office space) creates an ideal early-stage opportunity for HVAC involvement."
,"Tapestry Sarasota","Arlington Properties and Battery Global Advisors (BGA)","","",,,"7914 S. Tamiami Trail, Sarasota, FL","Greater Tampa","","2028","","2025-11-18","2025-12-03","https://floridayimby.com/2025/11/tapestry-sarasota-planned-for-2028-completion-at-7914-s-tamiami-trail-sarasota-florida.html","Two developers are proceeding with a luxury multi-family housing project called Tapestry Sarasota in Sarasota, Florida. The project comprises 325 units on 18.47 acres at 7914 S. Tamiami Trail. Construction is currently underway, with first units delivered in late 2027 and full completion in 2028. Amenities include pool, fitness center, co-working space.","Construction is currently underway; first units late 2027; completion 2028","325 units, one- to three-bedroom floorplans, resort-style pool, fitness center, co-working space, pet-friendly amenities",,"Yes","Confidence: 0 — Project located in Sarasota, Sarasota County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Residences at Bayview","Procacci Development Corporation","","",,,"1040 Bayview Drive, Fort Lauderdale, FL","Broward / Palm Beach / Martin / St. Lucie","","","Procacci Development’s Residences at Bayview Returns With Revised Program For Fort Lauderdale","2025-11-20","2025-12-03","https://floridayimby.com/2025/11/redevelopment-effort-resurfaces-for-2-4-acre-bayview-site-in-fort-lauderdale.html","Procacci Development Corporation has revived and revised its mixed-use proposal for 1040 Bayview Drive in Fort Lauderdale, now titled Residences at Bayview. The original 2022 plan for two towers with 180 multifamily units and commercial space has been updated to include 259 residential flex units, 12 affordable units, 67 bonus flexibility units, and 8,081 square feet of commercial space. The project is currently seeking Site Plan Level III approval with the Development Review Committee, and architectural drawings have not yet been released.","The filing was submitted on October 23, 2025 and deemed complete on October 31, with Lochrie & Chakas Law, P.A. listed as the agent. Architectural drawings, elevations, and site plan sheets have not yet been released.","The plan called for demolishing the existing 101,803-square-foot office building on the property and replacing it with a pair of towers rising 14 and 10 stories, featuring 180 multifamily units, 4,400 square feet of restaurant space, 1,350 square feet of retail, 5,750 square feet of offices, and a 505-space parking garage. The revised program includes 259 residential flex units, 12 affordable units, 67 bonus flexibility units, and 8,081 square feet of commercial space.",,"Yes","Confidence: 85 — The Residences at Bayview project in Fort Lauderdale, Broward County, is undergoing a revised program review with the Development Review Committee. The updated application seeks Site Plan Level III approval to amend a previously approved mixed-use development, indicating the project is in an early planning stage before mechanical systems are specified. The filing was submitted on October 23, 2025, and deemed complete on October 31, 2025. This early planning activity, combined with the fact that architectural drawings and site plan sheets have not yet been released, creates an ideal window for HVAC specification discussions."
,"Livano Park and Park","LIV Development","","",,,"8740 Park Boulevard, Seminole, FL","Broward / Palm Beach / Martin / St. Lucie","","","LIV Development hopes to replace a Winn-Dixie grocery store with a Class A housing development in Seminole.","2025-11-21","2025-12-03","https://floridayimby.com/2025/11/208-unit-livano-park-and-park-could-replace-winn-dixie-at-8740-park-boulevard-seminole-florida.html","LIV Development plans to build Livano Park and Park, a 208-apartment Class A housing development in Seminole, Pinellas County, replacing a Winn-Dixie grocery store. The project would feature a single four- and five-story building with one- to three-bedroom units, stainless steel appliances, quartz countertops, and energy-saving appliances. Communal amenities include a resort-style swimming pool, dog park, and resident lounge. The developer needs various approvals, including for parking and exceeding unit density limits. The article also mentions other multi-family housing developments in Florida that replaced Winn-Dixie stores, such as Avalon South Miami and Vista Verde at Sunrise, both completed in 2023.","The project, Livano Park and Park, would comprise 208 apartments in a single four- and five-story building; the residences themselves would span one-bedroom to three-bedroom floorplans. Homes would come outfitted with stainless steel appliances, quartz countertops, and other energy-saving appliances. Communal amenities would include a centralized resort-style swimming pool, dog park, and resident lounge. Renderings of the proposed housing development. Image from St. Pete Rising While Livano Park and Park’s 7.18-acre site currently allows for a residential building, the developer still needs various approvals before construction can begin. One aspect includes the number of parking spots; current plans call for less than two parking spots per unit. Additionally, the proposal exceeds the site’s limit of 24 units per acre. Still, Livano Park and Park isn’t the only multi-family housing development in Florida to replace a Winn-Dixie. In 2023, Florida YIMBY reported on Avalon South Miami , a 10-story, 290-apartment building that replaced a 20,000-square-foot grocery store. Another project , Vista Verde at Sunrise , was rebuilt on the site of a former Winn-Dixie in Broward County. That project was also completed in 2023. If given the necessary approvals, Livano Park and Park would be located at 8740 Park Boulevard, Seminole, Florida , 33777, in Pinellas County.","LIV Development hopes to replace a Winn-Dixie grocery store with a Class A housing development in Seminole. The project, Livano Park and Park, would comprise 208 apartments in a single four- and five-story building; the residences themselves would span one-bedroom to three-bedroom floorplans. Homes would come outfitted with stainless steel appliances, quartz countertops, and other energy-saving appliances. Communal amenities would include a centralized resort-style swimming pool, dog park, and resident lounge. Renderings of the proposed housing development. Image from St. Pete Rising While Livano Park and Park’s 7.18-acre site currently allows for a residential building, the developer still needs various approvals before construction can begin. One aspect includes the number of parking spots; current plans call for less than two parking spots per unit. Additionally, the proposal exceeds the site’s limit of 24 units per acre. If given the necessary approvals, Livano Park and Park would be located at 8740 Park Boulevard, Seminole, Florida , 33777, in Pinellas County.",,"Yes","Confidence: 0 — Project located in Seminole, Pinellas County, which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
